,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
87,Pochutla,0,MX,50,15.7432,-96.4661,76.82,2.06
88,Namatanai,100,PG,75,-3.6667,152.4333,80.04,6.73
89,Longyearbyen,75,SJ,74,78.2186,15.6401,28.24,17.27
90,Khatanga,51,RU,98,71.9667,102.5,-32.08,7.25
91,Male,20,MV,83,4.1748,73.5089,82.35,5.75
92,Orsha,100,BY,100,54.5153,30.4053,33.28,7.74
93,Atikokan,100,CA,96,48.7555,-91.6216,8.42,8.21
94,Casper,0,US,60,42.8666,-106.3131,39.79,26.46
95,Torbay,100,CA,77,47.6666,-52.7314,33.58,13.8
96,Alofi,70,NU,94,-19.0595,-169.9187,76.89,4.61
97,Ancud,100,CL,53,-41.8697,-73.8203,56.7,7.76
98,Pevek,100,RU,99,69.7008,170.3133,-10.46,3.04
99,Puga,0,MX,41,21.5833,-104.8167,63.73,4.32
100,Korla,4,CN,59,41.7597,86.1469,15.78,1.83
101,Mahebourg,40,MU,65,-20.4081,57.7,80.89,9.22
102,Carnarvon,0,AU,74,-24.8667,113.6333,75.87,27.54
103,Cabo San Lucas,0,MX,41,22.8909,-109.9124,69.73,2.33
104,Lavrentiya,6,RU,95,65.5833,-171.0,-2.65,11.63
105,Ouro Preto Do Oeste,100,BR,69,-10.7481,-62.2158,82.98,6.98
106,Mar Del Plata,0,AR,49,-38.0023,-57.5575,86.83,16.11
107,Albury,0,AU,68,-36.0833,146.9167,78.01,8.01
108,Georgetown,20,MY,73,5.4112,100.3354,84.13,8.05
109,Port Elizabeth,0,ZA,54,-33.918,25.5701,82.09,10.36
110,Ulverstone,4,AU,81,-41.15,146.1667,68.22,9.17
111,Bayir,0,TR,49,37.2687,28.2167,52.32,3.11
112,Dutse,11,NG,17,11.7594,9.3392,83.26,13.71
113,Pisco,0,PE,78,-13.7,-76.2167,74.01,6.91
114,Invermere,100,CA,95,50.5167,-116.0354,33.37,6.22
115,Chifeng,14,CN,53,42.2683,118.9636,10.45,9.35
116,Ponta Do Sol,90,PT,52,32.6667,-17.1,72.23,10.76
117,College,100,US,73,64.8569,-147.8028,1.72,6.91
118,Ngunguru,36,NZ,78,-35.6167,174.5,63.41,3.83
119,Dikson,25,RU,98,73.5069,80.5464,-20.04,9.28
120,Belaya Gora,86,RU,100,68.5333,146.4167,-32.17,4.21
121,Ilulissat,20,GL,37,69.2167,-51.1,10.42,12.66
122,Malaut,12,IN,19,30.2167,74.4833,57.18,6.49
123,Gotsu,100,JP,75,35.0,132.2167,46.98,7.09
124,Ugoofaaru,88,MV,71,5.6667,73.0,81.14,7.14
125,Clyde River,100,CA,77,70.4692,-68.5914,-12.77,5.75
126,Krasnovishersk,100,RU,100,60.4078,57.082,-1.7,1.54
127,Tianpeng,100,CN,62,30.9866,103.9393,41.47,0.29
128,Kaitangata,77,NZ,95,-46.2817,169.8464,52.65,4.23
129,Hithadhoo,57,MV,75,-0.6,73.0833,81.68,13.8
130,Marawi,100,PH,98,7.9986,124.2928,67.78,2.44
131,Dingle,100,PH,84,10.9995,122.6711,74.55,9.64
132,Barpathar,37,IN,95,26.3,93.8667,57.25,1.63
133,Margate,48,GB,81,51.3813,1.3862,50.9,8.01
134,Warmbad,2,NA,11,-28.45,18.7333,97.02,19.91
135,Lebedyn,100,UA,100,50.5852,34.4849,36.36,7.9
136,Saint-Joseph,43,RE,79,-21.3667,55.6167,79.18,12.46
137,Chokurdakh,100,RU,99,70.6333,147.9167,-19.08,5.64
138,Viedma,98,AR,27,-40.8135,-62.9967,72.88,17.63
139,Bilibino,100,RU,100,68.0546,166.4372,-25.33,0.58
140,Mogapi,0,BW,29,-22.323,27.8349,90.39,14.2
141,Constitucion,2,CL,66,-35.3333,-72.4167,68.07,7.72
142,Chernyshevskiy,100,RU,95,63.0128,112.4714,3.61,10.58
143,Namibe,89,AO,68,-15.1961,12.1522,77.5,15.17
144,Kamakura,78,JP,41,35.3089,139.5503,48.24,5.97
145,Palana,89,RU,94,59.1167,159.9667,3.51,6.93
146,Henties Bay,11,NA,78,-22.116,14.2845,66.69,14.16
147,Grand Gaube,2,MU,65,-20.0064,57.6608,81.0,5.01
148,Vardo,20,NO,86,70.3705,31.1107,24.78,31.07
149,Louveira,96,BR,77,-23.0864,-46.9506,73.06,4.83
150,Itaituba,100,BR,100,-4.2761,-55.9836,75.36,0.0
151,Tautira,87,PF,76,-17.7333,-149.15,79.72,11.23
152,Dwarka,3,IN,44,22.2394,68.9678,73.27,8.28
153,San Patricio,0,US,68,28.017,-97.5169,46.87,11.03
154,Opuwo,6,NA,9,-18.0607,13.84,94.39,12.86
155,May Pen,1,JM,56,17.9645,-77.2451,81.61,5.64
156,Mizdah,2,LY,36,31.4451,12.9801,65.59,3.53
157,Sawakin,8,SD,54,19.1059,37.3321,74.46,17.29
158,Calama,0,CL,39,-22.4667,-68.9333,63.09,3.44
159,Thompson,100,CA,76,55.7435,-97.8558,-18.24,2.3
160,Nha Trang,72,VN,88,12.25,109.1833,75.2,7.38
161,Bambous Virieux,40,MU,65,-20.3428,57.7575,80.85,9.22
162,Bethel,100,US,59,41.3712,-73.414,29.93,1.99
163,Batagay,54,RU,97,67.6333,134.6333,-28.8,3.94
164,Qaanaaq,100,GL,98,77.484,-69.3632,-11.13,4.65
165,Mount Gambier,99,AU,59,-37.8333,140.7667,72.91,9.33
166,Roald,40,NO,80,62.5833,6.1333,39.76,20.71
167,Tolyatti,100,RU,97,53.5303,49.3461,16.48,5.08
168,Te Anau,28,NZ,95,-45.4167,167.7167,53.46,1.03
169,Sinnamary,64,GF,83,5.3833,-52.95,79.27,12.17
170,Ratnagiri,0,IN,72,16.9833,73.3,77.0,10.25
171,Tuktoyaktuk,0,CA,75,69.4541,-133.0374,-29.2,4.61
172,Zarichne,85,UA,83,51.8126,26.129,35.62,14.92
173,Kloulklubed,100,PW,76,7.0419,134.2556,73.9,7.49
174,Raga,59,SS,16,8.4596,25.678,82.42,7.87
175,Marzuq,6,YE,65,14.4,46.4667,68.9,9.62
176,Sainte-Marie,40,RE,70,-20.8968,55.5496,80.76,17.27
177,Egvekinot,0,RU,69,66.3167,-179.1667,-6.41,21.74
178,Novyy Urengoy,47,RU,98,66.0833,76.6333,-7.49,7.07
179,Norman Wells,75,CA,69,65.282,-126.8329,-20.16,3.44
180,Iqaluit,75,CA,66,63.7506,-68.5145,15.53,0.0
181,Geraldton,0,AU,73,-28.7667,114.6,70.21,18.41
182,Koslan,100,RU,99,63.4564,48.8989,5.61,4.92
183,Zhezkazgan,100,KZ,85,47.8043,67.7144,13.98,4.47
184,Chabahar,99,IR,75,25.2919,60.643,72.86,5.23
185,Saint Anthony,100,US,72,45.0205,-93.218,15.91,11.5
186,De Aar,0,ZA,11,-30.6497,24.0123,90.63,11.14
187,Adrar,53,MR,14,20.5022,-10.0711,81.48,24.34
188,Sorong,100,ID,83,-0.8833,131.25,78.48,8.05
189,Vitim,84,RU,90,59.4511,112.5578,-11.2,5.19
190,Muros,5,ES,79,42.7762,-9.0603,57.09,4.7
191,Praia Da Vitoria,20,PT,82,38.7333,-27.0667,61.75,14.52
192,Japura,100,ID,97,-0.3167,102.35,74.12,2.64
193,Monaragala,8,LK,94,6.8714,81.3487,73.36,1.32
194,Kalabo,100,ZM,44,-14.97,22.6814,84.34,11.65
195,Mehtar Lam,36,AF,23,34.6714,70.2094,50.83,3.53
196,Beringovskiy,100,RU,88,63.05,179.3167,2.97,18.21
197,Barrow,0,US,77,71.2906,-156.7887,-7.58,19.57
198,Nemuro,49,JP,77,43.3236,145.575,32.45,10.67
199,Byron Bay,39,AU,85,-28.65,153.6167,66.94,7.16
200,Hay River,100,CA,78,60.8156,-115.7999,-2.22,6.91
201,Nome,0,US,66,64.5011,-165.4064,1.47,8.05
202,Ipira,72,BR,48,-12.1583,-39.7372,85.01,9.15
203,Contamana,57,PE,43,-7.3333,-75.0167,89.19,4.5
204,Salalah,20,OM,69,17.0151,54.0924,77.09,5.75
205,Kota Kinabalu,20,MY,94,5.9749,116.0724,76.98,3.44
206,Kuah,20,MY,65,6.3265,99.8432,80.58,5.75
207,Neuquen,0,AR,22,-38.9516,-68.0591,76.89,4.61
208,Qui Nhon,97,VN,89,13.7667,109.2333,68.34,10.22
209,Sola,99,VU,75,-13.8833,167.55,80.47,5.68
210,Talnakh,100,RU,97,69.4865,88.3972,3.63,3.89
211,Ixtapa,0,MX,72,20.7,-105.2,61.83,6.91
212,Arraial Do Cabo,40,BR,74,-22.9661,-42.0278,82.26,12.66
213,Broome,100,US,80,42.2506,-75.833,23.47,5.75
214,Cancun,67,MX,100,21.1743,-86.8466,68.05,14.85
215,Zhoucheng,100,CN,37,35.9122,116.3117,29.16,4.03
216,Port Lincoln,95,AU,81,-34.7333,135.8667,65.01,20.87
217,Hamilton,100,US,90,39.1834,-84.5333,29.03,4.61
218,Granja,99,BR,37,-3.1203,-40.8261,93.51,7.07
219,Dezhou,32,CN,34,37.4486,116.2925,24.48,4.72
220,Douglas,0,US,74,41.3,-96.167,21.38,18.41
221,Phan Thiet,21,VN,81,10.9333,108.1,69.57,5.26
222,Jamtara,2,IN,42,23.95,86.8,67.35,7.52
223,Santa Maria,0,BR,64,-29.6842,-53.8069,72.7,6.91
224,Xingyi,56,CN,91,24.1877,102.817,44.55,3.6
225,Sao Borja,100,BR,92,-28.6606,-56.0044,66.02,3.53
226,Esperance,5,AU,56,-33.8667,121.9,59.5,12.01
227,Islampur,0,IN,33,26.2667,88.2,61.36,5.7
228,Hasaki,9,JP,48,35.7333,140.8333,32.4,7.43
229,Tanout,36,NE,16,14.9709,8.8879,78.1,20.11
230,Lapua,97,FI,91,62.9693,23.0088,22.1,6.06
231,Victoria,35,HK,81,22.2855,114.1577,65.25,5.99
232,Guozhen,47,CN,46,34.3659,107.359,30.38,2.37
233,Tuatapere,20,NZ,96,-46.1333,167.6833,50.92,2.84
234,Ossora,0,RU,59,59.2353,163.0719,18.05,10.92
235,Chuy,17,UY,40,-33.6971,-53.4616,76.91,4.92
236,Manuk Mangkaw,97,PH,80,4.8,119.85,80.85,15.28
237,Carora,85,VE,56,10.1755,-70.0827,81.18,3.06
238,Suntar,25,RU,91,62.1444,117.6319,-7.33,7.94
239,Nkhata Bay,94,MW,77,-11.6066,34.2907,76.39,2.13
240,Taoudenni,0,ML,13,22.6783,-3.9836,82.26,11.03
241,Pokosnoye,100,RU,98,55.5258,101.0536,6.94,4.81
242,Codrington,78,AU,34,-38.2667,141.9667,83.37,13.71
243,Mehamn,20,NO,86,71.0357,27.8492,26.55,6.91
244,Isangel,97,VU,80,-19.55,169.2667,80.24,4.16
245,Fougamou,48,GA,62,-1.2154,10.5838,87.24,2.66
246,Aimores,97,BR,68,-19.4958,-41.0639,81.68,6.67
247,Saint-Pierre,75,RE,69,-21.3393,55.4781,80.28,18.41
248,Baker,0,US,85,30.5882,-91.1682,42.82,0.0
249,Cidreira,12,BR,58,-30.1811,-50.2056,72.84,8.9
250,Alekseyevka,100,RU,98,50.6309,38.6903,35.49,14.43
251,Galashki,15,RU,71,43.1136,44.9894,31.15,2.35
252,Syracuse,3,IT,64,37.0881,15.2792,74.79,4.29
253,Coevorden,93,NL,89,52.661,6.7405,44.02,13.42
254,Sakaiminato,40,JP,93,35.55,133.2333,35.58,5.75
255,Polyarnyy,84,RU,84,69.1989,33.4478,11.25,16.02
256,Caravelas,69,BR,48,-17.7125,-39.2481,85.57,7.96
257,Naze,62,JP,70,28.3667,129.4833,52.72,8.61
258,Takaka,32,NZ,91,-40.85,172.8,64.56,2.71
259,Mahibadhoo,24,MV,75,3.7833,72.9667,81.32,7.83
260,Botwood,95,CA,65,49.1499,-55.3482,28.9,11.18
261,Tsabong,72,BW,46,-26.0217,22.401,80.89,32.28
262,Hoshcha,63,UA,81,50.6003,26.6744,36.43,15.21
263,Madimba,75,TZ,70,-10.4,40.3333,85.32,11.5
264,Rivers,100,CA,96,50.0308,-100.2403,5.95,0.34
265,Zalantun,100,CN,97,48.0,122.7167,3.51,3.36
266,Hovd,4,MN,83,48.0056,91.6419,-3.26,2.75
267,Valley City,0,US,100,46.9233,-98.0032,12.72,20.71
268,Kantunilkin,87,MX,88,21.0917,-87.45,70.41,5.14
269,Turukhansk,100,RU,96,65.8167,87.9833,5.76,7.94
270,Oktyabrskoye,16,RU,86,43.0645,44.7417,30.34,2.24
271,Mogadishu,20,SO,74,2.0371,45.3438,82.27,13.8
272,Fairbanks,100,US,74,64.8378,-147.7164,1.74,6.91
273,Zyryanka,96,RU,100,65.75,150.85,-33.02,4.45
274,Kenai,100,US,70,60.5544,-151.2583,32.14,5.75
275,Mae Sai,53,TH,84,20.4335,99.8762,64.08,1.63
276,Wolfsburg,44,DE,81,52.4333,10.8,43.38,12.1
277,Nouadhibou,20,MR,49,20.931,-17.0347,71.58,6.91
278,Sao Filipe,75,CV,67,14.8961,-24.4956,71.96,10.33
279,Kazachinskoye,100,RU,93,57.6953,93.2761,15.37,6.02
280,Mao,20,ES,77,39.8885,4.2658,64.96,2.3
281,San Ramon,100,US,95,37.7799,-121.978,58.93,17.27
282,Tabou,32,CI,64,4.423,-7.3528,84.6,11.27
283,Hami,0,CN,44,42.8,93.45,19.63,2.13
284,Oranjestad,20,AW,70,12.524,-70.027,84.15,17.27
285,Yuanping,0,CN,40,38.7153,112.7575,15.73,4.56
286,Nicoya,21,CR,66,10.1483,-85.452,80.51,10.92
287,Leningradskiy,100,RU,100,69.3833,178.4167,-17.5,5.06
288,Sitka,100,US,93,57.0531,-135.33,39.09,4.61
289,Ust-Kuyga,99,RU,99,70.0167,135.6,-27.24,6.13
290,Ziarat,94,PK,78,30.3823,67.7282,37.08,3.87
291,North Battleford,100,CA,85,52.7834,-108.2847,10.49,2.3
292,Aykhal,100,RU,93,66.0,111.5,4.06,16.51
293,Yulara,91,AU,50,-25.2406,130.9889,85.53,11.05
294,Skjervoy,40,NO,70,70.0311,20.9714,30.2,19.19
295,Mushie,100,CD,51,-3.0167,16.9,89.02,1.7
296,General Artigas,79,PY,75,-26.9333,-56.2167,75.88,10.31
297,Ellensburg,100,US,95,46.9965,-120.5479,38.46,3.44
298,Urumqi,40,CN,77,43.801,87.6005,-6.65,2.24
299,Vilhena,40,BR,74,-12.7406,-60.1458,80.82,8.05
300,Hofn,100,IS,93,64.2539,-15.2082,26.42,28.41
301,Ahipara,1,NZ,91,-35.1667,173.1667,61.12,3.0
302,Birkeland,75,NO,91,58.3309,8.2323,33.35,3.44
303,Slantsy,100,RU,95,59.1182,28.0914,30.43,7.47
304,Honiara,100,SB,87,-9.4333,159.95,77.16,1.9
305,North Bend,100,US,87,43.4065,-124.2243,51.85,27.63
306,Haines Junction,100,CA,78,60.7522,-137.5108,3.15,1.14
307,Mercedes,0,AR,20,-34.6515,-59.4307,85.86,5.99
308,Katsuura,0,JP,45,35.1333,140.3,47.32,3.2
309,San Quintin,100,MX,52,30.4833,-115.95,60.22,2.86
310,Umm Kaddadah,0,SD,22,13.6017,26.6876,71.15,17.36
311,Ranong,63,TH,86,9.9658,98.6348,73.08,6.44
312,Mackay,88,AU,74,-21.15,149.2,75.69,19.6
313,Yerbogachen,100,RU,93,61.2767,108.0108,9.88,11.03
314,Lumphat,8,KH,66,13.4878,106.9816,68.77,6.53
315,Alyangula,91,AU,81,-13.8483,136.4192,82.62,15.03
316,Kichera,0,RU,70,55.9375,110.0997,-6.07,4.18
317,Kralendijk,0,BQ,78,12.15,-68.2667,80.58,16.11
318,Lebu,53,CL,63,-37.6167,-73.65,63.03,16.96
319,Tawang,95,IN,88,27.5833,91.8667,30.92,1.54
320,Makat,82,KZ,70,47.6469,53.3463,25.86,4.59
321,Slavutych,100,UA,99,51.5196,30.7343,38.17,11.63
322,Port-Gentil,40,GA,74,-0.7193,8.7815,85.96,10.36
323,Cabra,32,ES,38,37.4725,-4.4421,65.68,2.13
324,Kearney,0,US,86,40.6995,-99.0815,23.56,14.97
325,Sonoita,100,MX,38,31.85,-112.8333,58.35,3.31
326,Saint-Francois,100,FR,76,46.4154,3.9054,51.24,4.61
327,Vila Do Maio,66,CV,65,15.1333,-23.2167,77.79,15.12
328,Merauke,100,ID,85,-8.4667,140.3333,79.36,10.22
329,Flin Flon,40,CA,78,54.7682,-101.865,-2.36,9.22
330,Kargasok,100,RU,96,59.0556,80.8572,11.68,4.23
331,Vila Praia De Ancora,40,PT,84,41.811,-8.8526,57.7,4.05
332,Mehran,74,IR,48,33.1222,46.1646,56.75,8.43
333,Klaksvik,99,FO,64,62.2266,-6.589,32.92,22.21
334,Quelimane,40,MZ,74,-17.8786,36.8883,85.95,16.11
335,Karasjok,90,NO,98,69.4719,25.5112,7.0,8.05
336,Acajutla,5,SV,50,13.5928,-89.8275,81.37,5.99
337,Tazovskiy,94,RU,98,67.4667,78.7,-1.19,5.57
338,Saint Pete Beach,0,US,49,27.7253,-82.7412,54.07,12.66
339,Hambantota,20,LK,100,6.1241,81.1185,75.54,1.14
340,Tucuman,20,AR,57,-26.8241,-65.2226,78.8,5.75
341,Izmir,0,TR,45,38.4622,27.0923,58.95,4.61
342,Lasa,100,IT,91,46.6166,10.7002,47.28,4.72
343,Kargopol,100,RU,91,61.5071,38.9456,11.34,8.9
344,Bandar-E Lengeh,20,IR,73,26.5579,54.8807,68.11,4.61
345,Willowmore,1,ZA,21,-33.2926,23.4895,89.73,14.94
346,Kysyl-Syr,93,RU,96,63.8986,122.7617,-8.88,7.0
347,Benguela,52,AO,69,-12.5763,13.4055,82.04,8.88
348,Vallenar,0,CL,30,-28.5708,-70.7581,78.28,5.91
349,Saint George,0,US,70,37.1041,-113.5841,39.79,0.0
350,Kostomuksha,94,RU,94,64.571,30.5767,11.32,9.71
351,Athens,8,GR,78,37.9795,23.7162,63.68,3.18
352,Saldanha,14,ZA,74,-33.0117,17.9442,75.25,11.56
353,Santa Rosa,99,PH,79,14.3122,121.1114,78.78,13.22
354,Okha,12,RU,90,53.5739,142.9478,-2.27,13.44
355,Moroto,87,UG,48,2.5345,34.6666,76.1,11.18
356,Laguna,100,US,94,38.421,-121.4238,54.18,25.32
357,Trojan,100,PL,95,53.7897,20.2404,35.51,13.51
358,Tumaco,98,CO,86,1.7986,-78.8156,76.96,3.13
359,Avera,53,US,65,33.194,-82.5271,39.38,4.65
360,Norsup,100,VU,82,-16.0667,167.3833,79.14,5.03
361,Envira,99,BR,53,-7.3,-70.2167,84.81,4.16
362,Shilovo,100,RU,92,54.3204,40.874,28.51,13.87
363,Khatra,40,IN,43,22.9833,86.85,73.6,7.9
364,Ondangwa,5,NA,11,-17.9167,15.95,94.73,4.5
365,Huilong,71,CN,68,31.8111,121.655,41.94,6.31
366,Portland,75,US,88,45.5234,-122.6762,55.38,21.0
367,Zhigansk,100,RU,98,66.7697,123.3711,-12.3,24.92
368,Matamoros,0,MX,27,25.5333,-103.25,49.17,0.43
369,Ulladulla,0,AU,86,-35.35,150.4667,62.38,7.25
370,Naranjal,95,EC,80,-2.6667,-79.6167,78.75,1.79
371,Olafsvik,70,IS,73,64.8945,-23.7142,28.11,21.09
372,Kurchum,41,KZ,90,48.5722,83.6542,-7.1,2.53
373,Coquimbo,0,CL,64,-29.9533,-71.3436,69.53,12.66
374,Canico,20,PT,68,32.6333,-16.85,72.23,8.05
375,Aklavik,100,CA,76,68.2191,-135.0107,-22.0,6.91
376,Bantry,95,IE,84,51.6833,-9.45,49.78,14.99
377,Terrace,20,CA,93,54.5163,-128.6035,35.51,13.8
378,Kutum,4,SD,20,14.2,24.6667,67.84,12.46
379,La Ronge,75,CA,85,55.1001,-105.2842,-0.15,9.22
380,Rio Cuarto,20,AR,30,-33.1307,-64.3499,85.48,4.61
381,Coihaique,75,CL,43,-45.5752,-72.0662,54.21,9.22
382,Igarka,100,RU,98,67.4667,86.5833,0.64,4.76
383,Jibuti,11,DJ,65,11.5,42.5,74.37,11.63
384,Russell,0,US,86,32.3502,-85.1999,41.97,0.0
385,Hokitika,0,NZ,84,-42.7167,170.9667,58.96,3.49
386,Port Hedland,6,AU,78,-20.3167,118.5667,82.45,14.97
387,Hobyo,10,SO,72,5.3505,48.5268,79.63,11.56
388,Saint-Leu,39,RE,78,-21.15,55.2833,79.66,4.07
389,Puerto Del Rosario,0,ES,53,28.5004,-13.8627,71.35,26.46
390,Caronport,100,CA,98,50.4501,-105.8179,26.78,4.92
391,Fort Nelson,100,CA,85,58.8053,-122.7002,-13.05,2.3
392,Lamu,27,KE,79,-2.2717,40.902,84.42,12.84
393,Ovre Ardal,92,NO,100,61.3167,7.8,13.03,4.72
394,Muroto,46,JP,59,33.2833,134.15,51.96,0.54
395,Manbij,53,SY,75,36.5281,37.9549,46.22,2.08
396,Yining,100,CN,98,29.0361,114.5636,38.7,2.35
397,Susurluk,30,TR,49,39.9136,28.1578,56.98,5.1
398,Tigil,100,RU,96,57.8,158.6667,6.91,4.07
399,Krasnoselkup,97,RU,97,65.7,82.4667,2.53,8.16
400,Micheweni,93,TZ,73,-4.9667,39.8333,82.72,8.99
401,Kant,5,IN,39,27.8,79.8,57.25,8.7
402,Aripuana,96,BR,86,-9.1667,-60.6333,80.89,2.3
403,Guarapari,100,BR,77,-20.6667,-40.4975,77.9,11.34
404,Oksfjord,49,NO,83,70.2396,22.3479,33.98,15.37
405,Xuddur,92,SO,30,4.1213,43.8894,86.27,11.14
406,Akureyri,100,IS,86,65.6835,-18.0878,17.53,3.44
407,Padang,100,ID,83,-0.9492,100.3543,77.05,3.24
408,Lompoc,100,US,95,34.6391,-120.4579,56.59,9.22
409,Chunhuhub,9,MX,67,19.55,-88.6833,72.63,4.9
410,Beterou,33,BJ,16,9.1992,2.2586,95.7,5.12
411,Jacareacanga,100,BR,86,-6.2222,-57.7528,78.62,0.72
412,Nchelenge,83,ZM,78,-9.3451,28.734,73.62,6.49
